기준일자,지역,발전소,발전량(Wh)
2021-10-01,동해,동해연료전지,353344992
2021-10-01,영광,영광지산풍력,1946400
2021-10-01,울산,울산 수소연료전지,15008897
2021-10-01,울산,울산 연료전지 2단계,98595349
2021-10-01,일산,일산연료전지#4,92928000
2021-10-01,호남,호남연료전지,343855554
2021-10-02,동해,동해연료전지,352548336
2021-10-02,영광,영광지산풍력,124800
2021-10-02,울산,울산 수소연료전지,11671768
2021-10-02,울산,울산 연료전지 2단계,98768904
2021-10-02,일산,일산연료전지#4,88780800
2021-10-02,호남,호남연료전지,349512618
2021-10-03,동해,동해연료전지,352374064
2021-10-03,영광,영광지산풍력,13677600
2021-10-03,울산,울산 수소연료전지,11592697
2021-10-03,울산,울산 연료전지 2단계,97785415
2021-10-03,일산,일산연료전지#4,88771200
2021-10-03,호남,호남연료전지,350825664
2021-10-04,동해,동해연료전지,351378272
2021-10-04,영광,영광지산풍력,12460800
2021-10-04,울산,울산 수소연료전지,11585944
2021-10-04,울산,울산 연료전지 2단계,97814344
2021-10-04,일산,일산연료전지#4,87940800
2021-10-04,호남,호남연료전지,350435652
2021-10-05,동해,동해연료전지,351609216
2021-10-05,영광,영광지산풍력,1332000
2021-10-05,울산,울산 수소연료전지,15535359
2021-10-05,울산,울산 연료전지 2단계,97861348
2021-10-05,일산,일산연료전지#4,82824000
2021-10-05,호남,호남연료전지,350674212
2021-10-06,동해,동해연료전지,352960720
2021-10-06,영광,영광지산풍력,314400
2021-10-06,울산,울산 수소연료전지,19030621
2021-10-06,울산,울산 연료전지 2단계,97904737
2021-10-06,일산,일산연료전지#4,88900800
2021-10-06,호남,호남연료전지,351630006
2021-10-07,동해,동해연료전지,350547120
2021-10-07,영광,영광지산풍력,3004800
2021-10-07,울산,울산 수소연료전지,17832111
2021-10-07,울산,울산 연료전지 2단계,98956929
2021-10-07,일산,일산연료전지#4,88478400
2021-10-07,호남,호남연료전지,351693174
2021-10-08,동해,동해연료전지,352247840
2021-10-08,영광,영광지산풍력,979200
2021-10-08,울산,울산 수소연료전지,16691445
2021-10-08,울산,울산 연료전지 2단계,99105180
2021-10-08,일산,일산연료전지#4,88857600
2021-10-08,호남,호남연료전지,351503838
2021-10-09,동해,동해연료전지,355834528
2021-10-09,영광,영광지산풍력,2510400
2021-10-09,울산,울산 수소연료전지,16666381
2021-10-09,울산,울산 연료전지 2단계,99097946
2021-10-09,일산,일산연료전지#4,88828800
2021-10-09,호남,호남연료전지,350927472
2021-10-10,동해,동해연료전지,354501728
2021-10-10,영광,영광지산풍력,15532800
2021-10-10,울산,울산 수소연료전지,16558391
2021-10-10,울산,울산 연료전지 2단계,99032862
2021-10-10,일산,일산연료전지#4,88814400
2021-10-10,호남,호남연료전지,350964642
2021-10-11,동해,동해연료전지,354879616
2021-10-11,영광,영광지산풍력,11256000
2021-10-11,울산,울산 수소연료전지,16537177
2021-10-11,울산,울산 연료전지 2단계,99134097
2021-10-11,일산,일산연료전지#4,88900800
2021-10-11,호남,호남연료전지,351843996
2021-10-12,동해,동해연료전지,355177200
2021-10-12,영광,영광지산풍력,163200
2021-10-12,울산,울산 수소연료전지,16506323
2021-10-12,울산,울산 연료전지 2단계,99329352
2021-10-12,일산,일산연료전지#4,88248000
2021-10-12,호남,호남연료전지,351205050
2021-10-13,동해,동해연료전지,356000736
2021-10-13,영광,영광지산풍력,235200
2021-10-13,울산,울산 수소연료전지,10755767
2021-10-13,울산,울산 연료전지 2단계,99340200
2021-10-13,일산,일산연료전지#4,88968000
2021-10-13,호남,호남연료전지,352088226
2021-10-14,동해,동해연료전지,355924240
2021-10-14,영광,영광지산풍력,1106400
2021-10-14,울산,울산 수소연료전지,11431680
2021-10-14,울산,울산 연료전지 2단계,99267883
2021-10-14,일산,일산연료전지#4,88910400
2021-10-14,호남,호남연료전지,351637062
2021-10-15,동해,동해연료전지,356082832
2021-10-15,영광,영광지산풍력,3633600
2021-10-15,울산,울산 수소연료전지,12428672
2021-10-15,울산,울산 연료전지 2단계,99228106
2021-10-15,일산,일산연료전지#4,88910400
2021-10-15,호남,호남연료전지,351936648
2021-10-16,동해,동해연료전지,356559840
2021-10-16,영광,영광지산풍력,55814400
2021-10-16,울산,울산 수소연료전지,14256818
2021-10-16,울산,울산 연료전지 2단계,99419751
2021-10-16,일산,일산연료전지#4,84105600
2021-10-16,호남,호남연료전지,353997504
2021-10-17,동해,동해연료전지,357175504
2021-10-17,영광,영광지산풍력,18468000
2021-10-17,울산,울산 수소연료전지,14240424
2021-10-17,울산,울산 연료전지 2단계,99615000
2021-10-17,일산,일산연료전지#4,78556800
2021-10-17,호남,호남연료전지,354780300
2021-10-18,동해,동해연료전지,356672176
2021-10-18,영광,영광지산풍력,3796800
2021-10-18,울산,울산 수소연료전지,6913389
2021-10-18,울산,울산 연료전지 2단계,99499294
2021-10-18,일산,일산연료전지#4,79372800
2021-10-18,호남,호남연료전지,354566436
2021-10-19,동해,동해연료전지,356645184
2021-10-19,영광,영광지산풍력,26630400
2021-10-19,울산,울산 수소연료전지,15686738
2021-10-19,울산,울산 연료전지 2단계,99293192
2021-10-19,일산,일산연료전지#4,89006400
2021-10-19,호남,호남연료전지,354322080
2021-10-20,동해,동해연료전지,356823936
2021-10-20,영광,영광지산풍력,1562400
2021-10-20,울산,울산 수소연료전지,14749528
2021-10-20,울산,울산 연료전지 2단계,99289576
2021-10-20,일산,일산연료전지#4,87964800
2021-10-20,호남,호남연료전지,354413640
2021-10-21,동해,동해연료전지,355789952
2021-10-21,영광,영광지산풍력,5296800
2021-10-21,울산,울산 수소연료전지,13895236
2021-10-21,울산,울산 연료전지 2단계,99267880
2021-10-21,일산,일산연료전지#4,86980800
2021-10-21,호남,호남연료전지,352382856
2021-10-22,동해,동해연료전지,354873792
2021-10-22,영광,영광지산풍력,1209600
2021-10-22,울산,울산 수소연료전지,12899202
