연별 기후평년값(1991-2020),,,,,,,,,,,,,
ANNUAL NORMALS,,,,,,,,,,,,,
지점번호,지점명,"해면기압
(hpa)","기온(℃)
Temperature",,,상대습도(%),"평균증기압
(hPa)","평균풍속
(m/s)","운량
(1/10)","강수량
(mm)","증발량
(mm)","일조시간
(hr)",
,,,평균기온,최고기온,최저기온,,,,,,,,
90,속초,1015.1 ,12.5 ,16.6 ,8.7 ,65.0 ,11.7 ,2.3 ,,1407.2 ,,2166.4 ,
95,철원,1016.2 ,10.3 ,16.4 ,4.7 ,69.9 ,11.0 ,1.7 ,,1354.4 ,,2183.5 ,
98,동두천,1016.3 ,11.5 ,17.8 ,6.3 ,65.6 ,11.2 ,1.5 ,,1417.1 ,,2221.8 ,
99,파주,1016.5 ,11.0 ,17.3 ,5.6 ,71.6 ,11.9 ,1.6 ,,1295.8 ,,2288.3 ,
100,대관령,1016.1 ,7.1 ,12.2 ,2.3 ,73.3 ,9.3 ,3.8 ,,1695.1 ,,2253.9 ,
101,춘천,1016.3 ,11.4 ,17.4 ,6.3 ,70.5 ,11.7 ,1.2 ,,1341.5 ,,2139.7 ,
102,백령도,1016.3 ,11.3 ,14.5 ,8.7 ,71.0 ,11.6 ,4.4 ,5.4 ,787.3 ,,2193.6 ,
105,강릉,1015.4 ,13.5 ,17.8 ,9.6 ,59.5 ,11.2 ,2.6 ,,1444.9 ,,2196.6 ,
106,동해,1015.0 ,12.8 ,17.0 ,9.0 ,64.4 ,11.7 ,2.4 ,,1264.3 ,,2219.2 ,
108,서울,1016.3 ,12.8 ,17.4 ,8.9 ,61.8 ,11.5 ,2.3 ,4.8 ,1417.9 ,1179.3 ,2143.1 ,
112,인천,1016.1 ,12.5 ,16.6 ,9.1 ,68.8 ,12.4 ,2.9 ,4.7 ,1207.4 ,1163.3 ,2378.3 ,
114,원주,1016.3 ,12.0 ,17.8 ,6.9 ,66.6 ,11.4 ,1.1 ,,1299.0 ,,2063.2 ,
115,울릉도,1015.4 ,12.7 ,16.0 ,10.1 ,72.9 ,12.4 ,3.6 ,6.1 ,1480.6 ,1159.3 ,1961.4 ,
119,수원,1016.6 ,12.5 ,17.7 ,8.0 ,68.3 ,12.2 ,1.7 ,4.8 ,1320.3 ,1125.1 ,2227.0 ,
121,영월,1016.3 ,11.2 ,17.7 ,5.6 ,68.1 ,11.1 ,1.3 ,,1205.1 ,,2142.8 ,
127,충주,1016.5 ,11.7 ,17.9 ,6.3 ,67.3 ,11.2 ,1.5 ,,1214.3 ,,2138.7 ,
129,서산,1016.6 ,12.1 ,17.5 ,7.3 ,73.8 ,12.6 ,2.4 ,,1253.9 ,,2224.8 ,
130,울진,1015.3 ,12.8 ,17.5 ,8.7 ,67.2 ,12.1 ,3.2 ,,1181.7 ,,2350.9 ,
131,청주,1016.5 ,13.1 ,18.4 ,8.4 ,64.0 ,11.6 ,1.6 ,5.0 ,1232.4 ,1174.7 ,2232.0 ,
133,대전,1016.5 ,13.1 ,18.5 ,8.4 ,67.9 ,12.4 ,1.7 ,5.0 ,1351.2 ,1074.7 ,2253.7 ,
135,추풍령,1016.4 ,11.8 ,17.5 ,6.7 ,66.3 ,11.2 ,2.5 ,,1195.3 ,,2206.0 ,
136,안동,1016.4 ,12.2 ,18.4 ,6.8 ,66.2 ,11.5 ,1.6 ,4.9 ,1045.7 ,1254.3 ,2292.6 ,
137,상주,1016.4 ,12.8 ,18.6 ,7.8 ,64.8 ,11.8 ,1.7 ,,1178.6 ,,2205.3 ,
138,포항,1016.1 ,14.6 ,18.9 ,10.9 ,62.9 ,12.7 ,2.6 ,4.8 ,1192.4 ,1343.0 ,2303.5 ,
140,군산,1016.6 ,13.0 ,17.6 ,9.2 ,75.3 ,13.6 ,3.0 ,,1246.0 ,,2217.5 ,
152,울산,1015.8 ,14.4 ,19.4 ,10.2 ,63.5 ,12.6 ,2.1 ,4.8 ,1292.6 ,,2249.5 ,
155,창원,1015.7 ,14.8 ,19.4 ,11.0 ,62.6 ,12.8 ,2.0 ,4.6 ,1534.1 ,,2250.2 ,
156,광주,1016.4 ,14.1 ,19.4 ,9.8 ,68.1 ,13.0 ,2.0 ,5.2 ,1380.6 ,,2164.1 ,
159,부산,1015.6 ,15.0 ,19.2 ,11.7 ,63.3 ,13.1 ,3.5 ,4.7 ,1576.7 ,1212.7 ,2374.4 ,
162,통영,1016.2 ,14.6 ,19.0 ,11.0 ,67.9 ,13.5 ,2.5 ,,1535.8 ,,2305.8 ,
165,목포,1016.6 ,14.0 ,18.4 ,10.5 ,73.9 ,13.9 ,3.7 ,5.3 ,1167.7 ,1125.5 ,2180.8 ,
168,여수,1016.1 ,14.6 ,18.2 ,11.7 ,65.3 ,13.1 ,4.1 ,4.7 ,1449.1 ,1440.1 ,2361.2 ,
