한파일수,,,,,,,,,,,,,,
지점/지역명 : 전국,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
평균 한파일수,,,,,,,,,,,,,,
연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위
평년,3.4,1.5,0.1,0,0,0,0,0,0,0,0,1.5,6.5,
최근 10년,3.3,1.1,0,0,0,0,0,0,0,0,0,1.5,6.1,
최근  5년,3.3,1.4,0,0,0,0,0,0,0,0,0,1.9,6.6,
1973,0.6,0.4,0.1,0,0,0,0,0,0,0,0.1,3,4.1,41
1974,4.5,3.1,0.1,0,0,0,0,0,0,0,0,1.2,8.9,13
1975,2.1,0.8,0,0,0,0,0,0,0,0,0,2.9,5.9,30
1976,5.4,0.1,0,0,0,0,0,0,0,0,0.1,2.7,8.5,17
1977,7.9,5.9,0.2,0,0,0,0,0,0,0,0,0.4,14.5,2
1978,1.6,2.9,0.2,0,0,0,0,0,0,0,0,0.7,5.5,33
1979,0.9,1,0.1,0,0,0,0,0,0,0,0.2,0.7,2.8,46
1980,4.2,4.6,0,0,0,0,0,0,0,0,0,3.6,12.5,6
1981,9.1,2.9,0,0,0,0,0,0,0,0,0.1,1.3,13.4,3
1982,3.7,1.8,0,0,0,0,0,0,0,0,0,0.8,6.4,26
1983,2.7,2.7,0.1,0,0,0,0,0,0,0,0,3.1,8.6,16
1984,7.4,5,0.3,0,0,0,0,0,0,0,0,2.1,14.9,1
1985,7.4,1,0,0,0,0,0,0,0,0,0,3,11.4,8
1986,5.5,3.7,0.1,0,0,0,0,0,0,0,0,0.2,9.5,10
1987,2.2,1,0.1,0,0,0,0,0,0,0,0.1,1,4.3,40
1988,2.2,3.6,0.1,0,0,0,0,0,0,0,0,1.3,7.2,24
1989,1.6,0.7,0,0,0,0,0,0,0,0,0,0.4,2.7,48
1990,5.5,0.2,0,0,0,0,0,0,0,0,0,1.6,7.3,21
1991,3.9,2.6,0,0,0,0,0,0,0,0,0,0.8,7.5,20
1992,1.2,1.4,0,0,0,0,0,0,0,0,0.2,0.8,3.6,44
1993,3.2,0.5,0.2,0,0,0,0,0,0,0,0.1,1,5,36
1994,2.6,0.8,0,0,0,0,0,0,0,0,0,1.4,4.9,37
1995,4.2,1.8,0,0,0,0,0,0,0,0,0,2.3,8.4,18
1996,3.7,3.9,0.1,0,0,0,0,0,0,0,0,1.1,8.8,14
1997,4.1,2.3,0,0,0,0,0,0,0,0,0,0.8,7.2,23
1998,2.7,0.8,0,0,0,0,0,0,0,0,0,0.3,3.8,42
1999,2.5,1.4,0,0,0,0,0,0,0,0,0,1.7,5.7,31
2000,2.2,2.3,0,0,0,0,0,0,0,0,0,1,5.4,34
2001,5.8,1.3,0.1,0,0,0,0,0,0,0,0,1.9,9.1,12
2002,1.7,0.6,0,0,0,0,0,0,0,0,0,1.2,3.6,43
2003,5,0.6,0.1,0,0,0,0,0,0,0,0,0.6,6.3,27
