강수분석,,
[검색조건],,
자료구분 : 년,,
자료형태 : 기본,,
지역/지점 : 전국,,
기간 : 1973~2022,,
,,
년,지점,강수량(mm)
1973,전국,1038.9
1974,전국,1358.5
1975,전국,1331.8
1976,전국,1070.1
1977,전국,982.4
1978,전국,1224.1
1979,전국,1386.4
1980,전국,1471.8
1981,전국,1274.1
1982,전국,976.4
1983,전국,1179.2
1984,전국,1291.4
1985,전국,1662.6
1986,전국,1218.6
1987,전국,1528.5
1988,전국,874.9
1989,전국,1497.1
1990,전국,1598
1991,전국,1362
1992,전국,1108.3
1993,전국,1406.4
1994,전국,918.6
1995,전국,1074.9
1996,전국,1088.1
1997,전국,1384.3
1998,전국,1776
1999,전국,1679.1
2000,전국,1313.7
2001,전국,1030.8
2002,전국,1530
2003,전국,1882.8
2004,전국,1457.6
2005,전국,1309.8
2006,전국,1437.1
2007,전국,1461.1
2008,전국,1002
2009,전국,1244.7
2010,전국,1464.6
2011,전국,1658
2012,전국,1488.7
2013,전국,1187
2014,전국,1189
2015,전국,959.8
2016,전국,1289.1
2017,전국,982.4
2018,전국,1437
2019,전국,1184.4
2020,전국,1629.9
2021,전국,1243.3
2022,전국,1140.5
